http://kaiwoklaw.pl/sites/old-versions/angular
Bytes: 71922


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;528;905;1891;1366;1049
2;516;906;1883;1415;1051
3;580;1078;1982;1521;1207
4;519;906;1983;1445;1063
5;516;808;1890;1355;962
6;521;810;1899;1406;978
7;517;994;1892;1461;1122
8;515;878;1691;1344;1007
9;516;897;1785;1379;1033
10;515;983;2080;1449;1144
11;556;886;1792;1436;1024
12;532;892;1882;1455;1049
13;530;887;1801;1444;1037
14;527;901;1788;1400;1037
15;522;911;1792;1431;1046
16;692;1000;3083;2671;1264
17;517;900;1785;1408;1044
18;515;889;1681;1338;1014
19;520;908;1791;1421;1053
20;519;876;1776;1335;1025
