http://kaiwoklaw.pl/sites/old-versions/angular
Bytes: 71922


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;1603;2385;4372;3714;2690
2;1606;2295;4410;3745;2627
3;1605;2364;4282;3673;2664
4;1615;2383;4179;3557;2681
5;1606;2191;4199;3595;2521
6;1623;2305;4388;3740;2649
7;1620;2392;4295;3695;2699
8;1604;2300;4187;3562;2605
9;1606;2192;4390;3616;2541
10;1603;2293;4376;3756;2640
11;1648;2477;4278;3690;2762
12;1609;2271;4373;3671;2603
13;1618;2220;4298;3609;2554
14;1608;2292;4183;3592;2598
15;1606;2281;4281;3609;2597
16;1596;2287;4272;3597;2604
17;1606;2401;5189;3737;2802
18;1641;2515;4406;3739;2812
19;1600;2199;4188;3549;2523
20;1598;2279;4187;3583;2577
