http://kaiwoklaw.pl/sites/old-versions/backbone
Bytes: 151357


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;527;1000;1693;1419;1071
2;516;903;1677;1427;983
3;545;921;1700;1469;994
4;520;913;1586;1466;973
5;533;885;1581;1404;957
6;528;910;1584;1441;980
7;575;1000;1589;1450;1061
8;518;1011;1778;1563;1072
9;546;1004;1697;1507;1076
10;511;905;1582;1416;967
11;514;997;1578;1420;1057
12;533;893;1580;1438;964
13;528;906;1696;1400;969
14;596;997;1676;1557;1067
15;508;989;1693;1368;1044
16;522;907;1584;1425;977
17;523;1005;1583;1414;1065
18;532;1002;1577;1445;1054
19;508;920;1616;1391;992
20;525;1001;1577;1423;1060
