http://kaiwoklaw.pl/sites/old-versions/backbone
Bytes: 151357


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;1600;2287;3878;3753;2451
2;1690;2404;4079;3851;2576
3;1605;2281;4295;4024;2480
4;1675;2408;4203;3967;2594
5;1612;2403;3983;3840;2566
6;1604;2410;3983;3831;2572
7;1646;2422;4014;3834;2587
8;1604;2291;3985;3759;2467
9;1659;2491;3976;3828;2644
10;1611;2400;4176;4044;2559
11;1599;2290;3883;3729;2455
12;1620;2380;4903;4619;2596
13;1610;2297;3986;3810;2471
14;1637;2397;5190;5064;2605
15;1654;2401;4185;3937;2586
16;1636;2379;4089;3919;2556
17;1611;2319;4190;3992;2507
18;1626;2510;4184;3906;2668
19;1642;2280;4079;3833;2466
20;1615;2412;4993;4706;2573
