http://kaiwoklaw.pl/sites/old-versions/ember
Bytes: 1918537


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;517;798;5484;5248;1419
2;532;909;5485;5357;1484
3;525;893;6194;5925;1549
4;531;998;5194;5088;1547
5;513;789;5479;5353;1380
6;516;799;5375;5145;1387
7;546;904;5096;4989;1441
8;515;987;5590;5429;1548
9;550;898;5386;5249;1466
10;564;897;5674;5576;1496
11;556;912;5688;5464;1499
12;508;886;5476;5306;1468
13;515;1005;5076;4974;1527
14;672;995;6478;6311;1678
15;638;988;5581;5404;1589
16;510;808;5304;5222;1387
17;509;792;5283;5182;1382
18;502;809;5702;5471;1421
19;528;809;5403;5239;1400
20;508;810;5013;4914;1348
