http://kaiwoklaw.pl/sites/old-versions/ember
Bytes: 1918537


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;1664;2196;14091;13946;3749
2;1601;2197;15582;15407;3896
3;1607;2199;14095;13887;3745
4;1638;2194;14094;13858;3750
5;1619;2306;17405;17239;4169
6;1611;2193;13881;13624;3703
7;1615;2306;14303;13995;3850
8;1625;2277;14183;14004;3812
9;1622;2285;13975;13810;3809
10;1652;2207;14003;13897;3748
11;1598;2195;14190;13967;3757
12;1606;2305;13712;13583;3732
13;1595;2211;14194;13979;3753
14;1625;2307;16396;16174;4062
15;1610;2309;14910;14773;3905
16;1596;2190;13582;13411;3680
17;1648;2212;14092;13943;3752
18;1603;2111;14102;13860;3668
19;1651;2308;14905;14733;3913
20;1615;2194;15906;15731;3921
