http://kaiwoklaw.pl/sites/old-versions/react
Bytes: 311560


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;534;888;2599;2522;1116
2;530;984;2397;2320;1147
3;533;904;2381;2233;1069
4;532;904;2385;2248;1071
5;545;892;2485;2272;1082
6;513;900;2288;2205;1057
7;512;904;2274;2193;1060
8;549;907;2285;2204;1063
9;512;802;2386;2233;999
10;528;889;2486;2361;1077
11;517;989;2202;2109;1132
12;518;905;2289;2136;1061
13;604;990;2575;2446;1178
14;513;901;2477;2264;1076
15;513;918;2691;2537;1130
16;517;1100;2578;2411;1258
17;512;904;2287;2202;1060
18;508;903;2186;2118;1050
19;620;1093;2584;2453;1271
20;619;1097;2588;2388;1257
