http://kaiwoklaw.pl/sites/old-versions/react
Bytes: 311538


#;TTFB [ms];Render Start[ms];Visually Complete[ms];Load TIme[ms];Speed Index
1;1599;2311;5393;5318;2651
2;1598;2228;5595;5415;2612
3;1605;2501;5782;5605;2897
4;1613;5995;6689;6540;6127
5;1638;2283;5691;5586;2663
6;1839;2587;5987;5887;3006
7;1603;2389;5888;5817;2778
8;1635;2401;6004;5911;2789
9;1606;2318;5690;5563;2683
10;1610;2412;5586;5420;2750
11;1612;2396;5772;5560;2751
12;1603;2303;5895;5712;2709
13;1609;2379;5665;5465;2770
14;1613;2417;5688;5597;2762
15;1618;2298;5681;5524;2664
16;1627;2386;5783;5621;2746
17;1653;2301;5781;5698;2687
18;1627;2404;5788;5630;2762
19;1695;2387;6102;6012;2835
20;1636;2293;5589;5453;2655
